condition,task,ndisc,high_quality_count,low_quality_count
disc,1,62,0.8095238095238095,0.19047619047619047
ndisc,1,62,0.6945094977881864,0.3054905022118137
disc,2,62,0.625,0.375
ndisc,2,62,0.4887016468785906,0.5112983531214094
disc,3,62,0.6923076923076923,0.3076923076923077
ndisc,3,62,0.5127063138590516,0.4872936861409484
disc,4,62,0.6,0.4
ndisc,4,62,0.690931523750771,0.30906847624922884
disc,5,55,1.0,0.0
ndisc,5,55,0.7969653179190751,0.20303468208092487
disc,6,55,0.717948717948718,0.28205128205128205
ndisc,6,55,0.6817331670822944,0.3182668329177058
disc,7,55,0.17142857142857143,0.8285714285714286
ndisc,7,55,0.14717741935483872,0.8528225806451613
disc,8,55,0.782608695652174,0.21739130434782608
ndisc,8,55,0.785267034990792,0.2147329650092081
disc,9,40,0.7352941176470589,0.2647058823529412
ndisc,9,40,0.6756663205261336,0.3243336794738664
disc,10,40,0.8888888888888888,0.1111111111111111
ndisc,10,40,0.760423148724331,0.23957685127566894
disc,11,40,0.6538461538461539,0.34615384615384615
ndisc,11,40,0.7957486136783734,0.20425138632162662
disc,12,40,0.6,0.4
ndisc,12,40,0.4572564612326044,0.5427435387673956
